Target Id,Target Label,Action Id,Action Label
46,LoadGreaseGun,314,unscrew gun head
46,LoadGreaseGun,315,take out old grease container
46,LoadGreaseGun,316,put in a new grease container
46,LoadGreaseGun,317,open the lid of new container
46,LoadGreaseGun,318,screw gun head back
46,LoadGreaseGun,319,"try to press gun head, spray residual old grease"
47,MakeFlowerCrown,304,prepare the frame
47,MakeFlowerCrown,305,prepare flower
47,MakeFlowerCrown,306,stick or bind flower to the frame
48,MakeFlowerPress,666,put flower in book
48,MakeFlowerPress,667,press book or heat flower
48,MakeFlowerPress,668,take out dry flowers
48,MakeFlowerPress,669,use dried flower to place pattern and fix it
49,MakeChocolate,157,add raw materials
49,MakeChocolate,158,mix raw materials
49,MakeChocolate,159,put materials into mold
49,MakeChocolate,160,take out chocolate
50,MakeCookie,293,pour raw materials
50,MakeCookie,294,mix raw materials
50,MakeCookie,295,shape cookie
50,MakeCookie,296,bake cookies
51,MakeHummus,194,add raw materials
51,MakeHummus,195,mix raw materials
51,MakeHummus,196,pour bean paste into plate
51,MakeHummus,197,invert seasoning
52,MakePaperEasterBaskets,381,"process (crop, fold) paper"
52,MakePaperEasterBaskets,382,paste paper into base of paper basket
52,MakePaperEasterBaskets,383,stick handle to paper basket
53,MakeYoutiao,552,pour raw materials
53,MakeYoutiao,553,stir raw materials
53,MakeYoutiao,554,knead together
53,MakeYoutiao,555,flatten the dough
53,MakeYoutiao,556,cut into strips
53,MakeYoutiao,557,press the strips in the middle with a board
53,MakeYoutiao,558,fry the dough
54,PatchBikeInnerTube,401,remove inner tube
54,PatchBikeInnerTube,402,look for leaks
54,PatchBikeInnerTube,403,use sandpaper/metal to polish rubber near leak
54,PatchBikeInnerTube,404,apply glue
54,PatchBikeInnerTube,405,paste patch
54,PatchBikeInnerTube,406,put inner tube back
55,RefillMechanicalPencils,545,remove cap
55,RefillMechanicalPencils,546,put lead into the pen
55,RefillMechanicalPencils,547,buckle the cap
56,RemoveCrayonFromWalls,133,apply cleaning agent
56,RemoveCrayonFromWalls,134,use a hair dryer to blow hot wall
56,RemoveCrayonFromWalls,135,wipe wall with detergent
56,RemoveCrayonFromWalls,136,clean wall with a clean cloth
57,ReplaceCarWindow,41,remove surface of the door
57,ReplaceCarWindow,42,remove old glass from window lift
57,ReplaceCarWindow,43,glue on window frame
57,ReplaceCarWindow,44,install new glass on window lift
57,ReplaceCarWindow,45,install the door
58,ReplaceBatteryOnKeyToCar,120,open the car key cover
58,ReplaceBatteryOnKeyToCar,121,take out the car key battery
58,ReplaceBatteryOnKeyToCar,122,put in the battery
58,ReplaceBatteryOnKeyToCar,123,close the car key cover
59,ReplaceBatteryOnTVControl,692,open cover
59,ReplaceBatteryOnTVControl,693,remove battery
59,ReplaceBatteryOnTVControl,694,put battery in
59,ReplaceBatteryOnTVControl,695,close cover
60,UseNetiPot,598,add a small amount of salt to Neti Pot
60,UseNetiPot,599,add water to Neti Pot
60,UseNetiPot,600,shake and stir
60,UseNetiPot,601,fill a nostril with saline and do the same to the other nostril
60,UseNetiPot,602,wipe nose
61,UseEpinephrineAuto-injector,673,unplug protection head
61,UseEpinephrineAuto-injector,674,plunge into thigh
61,UseEpinephrineAuto-injector,675,pull out after a period of time
62,UseTripleBeamBalance,425,adjust the balance to the horizontal position
62,UseTripleBeamBalance,426,correct the balance zero
62,UseTripleBeamBalance,427,put the sample to be measured on the balance
62,UseTripleBeamBalance,428,put the weight until the balance is balanced
63,UseVolumetricPipette,83,absorb liquid with dropper
63,UseVolumetricPipette,84,calibrate the liquid
63,UseVolumetricPipette,85,release liquid
64,WrapZongzi,497,cone the leaves
64,WrapZongzi,498,add ingredients into cone
64,WrapZongzi,499,fold the leaves
64,WrapZongzi,500,tie the zongzi tightly
65,InstallAirConditioner,628,install sponge strip
65,InstallAirConditioner,629,install window panel
65,InstallAirConditioner,630,fix window board
65,InstallAirConditioner,631,connect air conditioners and windows
66,InstallBicycleRack,336,mount the bracket to the back of the car
66,InstallBicycleRack,337,fix and fasten the upper and lower ropes to car
66,InstallBicycleRack,338,place the bicycle on the bracket
66,InstallBicycleRack,339,fasten the strap
67,InstallCeilingFan,353,close switch
67,InstallCeilingFan,354,remove old lamp fixed cover
67,InstallCeilingFan,355,remove old lamp fixed support
67,InstallCeilingFan,356,install fan bracket
67,InstallCeilingFan,357,install fan tray
67,InstallCeilingFan,358,install fan frame
67,InstallCeilingFan,359,install fans and lights
68,InstallCeramicTile,161,check ground and layout planning
68,InstallCeramicTile,162,prepare adhesive
68,InstallCeramicTile,163,wipe adhesive and bedding layer
68,InstallCeramicTile,164,cut tiles
68,InstallCeramicTile,165,tile the wall
68,InstallCeramicTile,166,fill the gap
69,PasteScreenProtectorOnPad,331,place label
69,PasteScreenProtectorOnPad,332,wipe screen
69,PasteScreenProtectorOnPad,333,paste protector on the screen
69,PasteScreenProtectorOnPad,334,wipe screen again
69,PasteScreenProtectorOnPad,335,remove the label
70,InstallLicensePlateFrame,737,place license plate
70,InstallLicensePlateFrame,738,place license plate cover
70,InstallLicensePlateFrame,739,screw and fix the cover
71,InstallShowerHead,663,replace the old shower head
71,InstallShowerHead,664,wrap the pipe band
71,InstallShowerHead,665,install the new shower head
72,InstallClosestool,410,close the sluice and empty and disconnect the water pipe
72,InstallClosestool,411,take down the closestool
72,InstallClosestool,412,remove the old wax ring and clean
72,InstallClosestool,413,install the new wax ring
72,InstallClosestool,414,install the closestool again
72,InstallClosestool,415,connect the water pipe
73,InstallWoodFlooring,96,prepare the ground floor
73,InstallWoodFlooring,97,cut the raw boards
73,InstallWoodFlooring,98,fit on the boards
73,InstallWoodFlooring,99,knock in the nails
73,InstallWoodFlooring,100,apply some glue on the borads
74,InstallCurtain,760,drill in the wall
74,InstallCurtain,761,install two shelves
74,InstallCurtain,762,place crossbar on shelves
74,InstallCurtain,763,hang up curtains
75,IronClothes,170,get an iron prepared
75,IronClothes,171,make the clothes wet
75,IronClothes,172,flip the clothes repeatly
75,IronClothes,173,put the clothes neatly on a ironing table
75,IronClothes,174,iron the cloths with the iron
75,IronClothes,175,hang the ironed clothes
76,PractiseKarate,494,march into the area and salute
76,PractiseKarate,495,begin to practise karate
76,PractiseKarate,496,exit from the area and salute
77,LubricateALock,398,apply the lubricant on the lock
77,LubricateALock,399,wipe off the redundant lubricant
77,LubricateALock,400,insert the key repeatly
78,MakePaperDice,348,fold or bent paper
78,MakePaperDice,349,put paper together
78,MakePaperDice,350,cut paper
78,MakePaperDice,351,paint on the paper
78,MakePaperDice,352,measure and mark
79,MakeBurger,22,knead the meat
79,MakeBurger,23,fry meat
79,MakeBurger,24,combine meat and bread to make burger
80,MakeCandle,320,put the candle wick into a vessel
80,MakeCandle,321,fix the candle wick
80,MakeCandle,322,melt the wax with water
80,MakeCandle,323,pour the wax into the vessel
80,MakeCandle,324,wait for the candle until concretion
81,MakeChineseLantern,51,fold or bent the paper
81,MakeChineseLantern,52,nail down or stick together
81,MakeChineseLantern,53,cut the raw materials
81,MakeChineseLantern,54,draw pictures on the materials
81,MakeChineseLantern,55,thread and make knots
81,MakeChineseLantern,56,put the candle in the lantern
81,MakeChineseLantern,57,measure and label the lantern
82,MakeCocktail,751,pour into the ingredients
82,MakeCocktail,752,stir the mixture
82,MakeCocktail,753,shake the mixture
82,MakeCocktail,754,pour in after mix it
82,MakeCocktail,755,decorate with fruit
83,MakeFrenchFries,203,cut potato into strips
83,MakeFrenchFries,204,soak them in water
83,MakeFrenchFries,205,dry strips
83,MakeFrenchFries,206,put in the oil to fry
84,MakeHomemadeIceCream,680,pour the ingredients into the bowl
84,MakeHomemadeIceCream,681,stir the mixture
84,MakeHomemadeIceCream,682,package and freeze
84,MakeHomemadeIceCream,683,decorate the ice cream
85,MakeLambKebab,1,prepare seasonings and side dishes
85,MakeLambKebab,2,prepare meat
85,MakeLambKebab,3,mix and pickle
85,MakeLambKebab,4,string together
85,MakeLambKebab,5,roast ingredients
85,MakeLambKebab,6,brush sauce or sprinkle seasoning
86,MakeMatchaTea,61,prepare tea pots and tea bowls
86,MakeMatchaTea,62,add tea powder
86,MakeMatchaTea,63,brew tea and stir
86,MakeMatchaTea,64,add milk
87,MakeOrangeJuice,764,cut oranges
87,MakeOrangeJuice,765,juice the oranges
87,MakeOrangeJuice,766,pour the orange juice into the cup
88,MakePickles,484,put the ingredients into the can
88,MakePickles,485,pour the soup in
88,MakePickles,486,close cans
89,MakePizza,37,knead the dough
89,MakePizza,38,unroll the dough
89,MakePizza,39,add seasoning
89,MakePizza,40,bake pizza
90,MakeRJ45Cable,655,strip the insulation
90,MakeRJ45Cable,656,arrange the seperated wire
90,MakeRJ45Cable,657,cut a certain length
90,MakeRJ45Cable,658,insert it into the crystal head
90,MakeRJ45Cable,659,fixe it with a crimping pliers
91,MakeSalad,264,cut ingredients
91,MakeSalad,265,put the ingredients into the bowl
91,MakeSalad,266,stir the ingredients
92,MakeSalmon,25,add seasoning on the salmon
92,MakeSalmon,26,fry salmon
92,MakeSalmon,27,add seasoning
92,MakeSalmon,28,load the dish
92,MakeSalmon,29,add decoration
93,MakeSandwich,522,prepare the filler
93,MakeSandwich,523,cut the bread
93,MakeSandwich,524,put the filler on the bread slice
93,MakeSandwich,525,fry or grill
93,MakeSandwich,526,cut into small pieces
94,MakeSoap,384,melt the soap block
94,MakeSoap,385,prepare a vacant vessel
94,MakeSoap,386,put the melted soap block into the vessel
94,MakeSoap,387,take out after freezing
95,MakeStrawberrySmoothie,101,add ice cubes
95,MakeStrawberrySmoothie,102,put strawberries and other fruits into the juicer
95,MakeStrawberrySmoothie,103,"put yogurt, honey and other ingredients into the juicer"
95,MakeStrawberrySmoothie,104,shake and juice
96,MakeSugarCoatedHaws,191,string the fruit together
96,MakeSugarCoatedHaws,192,melt the sugar
96,MakeSugarCoatedHaws,193,soak sugar gourd in sugar
97,MakeWirelessEarbuds,615,cut the headphone cable
97,MakeWirelessEarbuds,616,process the copper wire inside the earphone cable
97,MakeWirelessEarbuds,617,solder the headset cable to the Bluetooth module
97,MakeWirelessEarbuds,618,wrap in foil paper
97,MakeWirelessEarbuds,619,wrap in copper wire
98,MakeBed,124,put the sheet on the bed
98,MakeBed,125,insert the quilt into the quilt cover
98,MakeBed,126,put the quilt on the bed
98,MakeBed,127,insert the pillow into the pillow cover
98,MakeBed,128,put the pillow on the bed
99,MakeCoffee,186,boil water or coffee
99,MakeCoffee,187,grind the coffee beans
99,MakeCoffee,188,filtrate the coffee beans
99,MakeCoffee,189,brew the coffee beans
99,MakeCoffee,190,add some ingredients in the coffee
100,MakeTea,307,heat the teapot and wash the cup
100,MakeTea,308,prepare and boil water
100,MakeTea,309,prepare and add the tea
100,MakeTea,310,add some water to the tea
100,MakeTea,311,add some ingredients to the tea
100,MakeTea,312,pour the tea into the vessel
101,ChangeMobilePhoneBattery,743,heat the back cover of the phone
101,ChangeMobilePhoneBattery,744,pick up the back cover of the phone with the cymbal
101,ChangeMobilePhoneBattery,745,remove the components of the fixed battery
101,ChangeMobilePhoneBattery,746,remove the tape of the fixed battery
101,ChangeMobilePhoneBattery,747,take down the old battery
101,ChangeMobilePhoneBattery,748,put on new tape
101,ChangeMobilePhoneBattery,749,load a new battery
101,ChangeMobilePhoneBattery,750,restore the fixed battery components and the back cover
102,ReplaceMobileScreenProtector,756,remove the original protector
102,ReplaceMobileScreenProtector,757,wipe the screen
102,ReplaceMobileScreenProtector,758,line up the protector and the cellphone
102,ReplaceMobileScreenProtector,759,paste protector on the screen
103,AttendNBASkillsChallenge,148,do the first layup
103,AttendNBASkillsChallenge,149,dribble in the field
103,AttendNBASkillsChallenge,150,pass the basketball into the hole at the first time
103,AttendNBASkillsChallenge,151,shoot towards the basket
103,AttendNBASkillsChallenge,152,pass the basketball into the hole at the second time
103,AttendNBASkillsChallenge,153,dribble and lay up
104,OpenALockWithPaperclips,89,bent the paperclips by hands
104,OpenALockWithPaperclips,90,squeeze the paperclips by hands
104,OpenALockWithPaperclips,91,insert the paperclips into the lock hole
104,OpenALockWithPaperclips,92,twist the paperclips by hands
105,OpenChampagneBottle,179,tear out the foil
105,OpenChampagneBottle,180,turn the suspension link
105,OpenChampagneBottle,181,open the bottle carefully
106,OperateFireExtinguisher,740,pull out the insurance ring
106,OperateFireExtinguisher,741,spray experimentally to check
106,OperateFireExtinguisher,742,spray towards the fire
107,PackSleepingBag,297,pack the sleeping bag
107,PackSleepingBag,298,tie the bag tightly
108,PerformPaperToMoneyTrick,535,show the blank paper
108,PerformPaperToMoneyTrick,536,fold or fire the blank paper
108,PerformPaperToMoneyTrick,537,show the money to the audience
109,MakePaperWindMill,239,fold the edges of the paper
109,MakePaperWindMill,240,cut along the edges
109,MakePaperWindMill,241,fold the squares inward and fix them
109,MakePaperWindMill,242,fix the wind mill on the bracket
110,ParkParallel,689,drive the car forward
110,ParkParallel,690,drive the car backward
110,ParkParallel,691,adjust front and back position
111,GiveAnIntramuscularInjection,624,fill the injection head
111,GiveAnIntramuscularInjection,625,disinfect the injecting place
111,GiveAnIntramuscularInjection,626,inject to the muscular
111,GiveAnIntramuscularInjection,627,pull out the needle and press
112,PerformCPR,448,call emergency number
112,PerformCPR,449,check the breath of the patient
112,PerformCPR,450,check the foreign matter in the mouse
112,PerformCPR,451,do artificial breathing to the patient
112,PerformCPR,452,check the pulse of the patient
112,PerformCPR,453,press the chest of the patient
113,PitchATent,142,clean up the ground
113,PitchATent,143,lay the cushion evenly
113,PitchATent,144,set up the brackets
113,PitchATent,145,set up the platfond
113,PitchATent,146,fix the ground nail
113,PitchATent,147,put the waterproof cover
114,PlantTree,221,dig a pit with proper size
114,PlantTree,222,fill the tree into the pit
114,PlantTree,223,fill the pit with some soil
114,PlantTree,224,pour water to the tree
115,PlayFrisbeeWithADog,176,chase for the frisbee
115,PlayFrisbeeWithADog,177,catch the frisbee with mouse
115,PlayFrisbeeWithADog,178,bring the frisbee back
116,PractisePoleVault,373,begin to run up
116,PractisePoleVault,374,begin to jump up
116,PractisePoleVault,375,fall to the ground
117,PrepareCanvas,243,pour the gesso to the canvas
117,PrepareCanvas,244,brush the gesso evenly
118,PrepareStandardSolution,289,weigh up the solute
118,PrepareStandardSolution,290,transfer and dissolve the solute
118,PrepareStandardSolution,291,add water into the volumetric flask to the tick line
118,PrepareStandardSolution,292,transfer the solution and label
119,PrepareSumiInk,735,add some water to the vessel
119,PrepareSumiInk,736,grind roundly and evenly
120,PumpUpBicycleTire,245,screw off the valve cap and open the valve
120,PumpUpBicycleTire,246,install the air nozzle
120,PumpUpBicycleTire,247,pump up to the tire
120,PumpUpBicycleTire,248,remove the air nozzle
120,PumpUpBicycleTire,249,tighten the valve and screw on the valve cap
121,PutOnQuiltCover,137,turn over the quilt cover
121,PutOnQuiltCover,138,put nicely and align the quilt and the cover
121,PutOnQuiltCover,139,roll the quilt cover and the quilt together
121,PutOnQuiltCover,140,take out the quilt cover from another side
121,PutOnQuiltCover,141,put and arrange nicely
122,PutOnHairExtensions,325,pull up the hair to reserve place for the hair extensions
122,PutOnHairExtensions,326,put on the hair extensions
122,PutOnHairExtensions,327,put down the hair and comb
123,RefillFountainPen,732,take off the shell
123,RefillFountainPen,733,absorb some ink slowly
123,RefillFountainPen,734,clean the fountain pen with napkin
124,RefillALighter,481,press the fuel nozzle
124,RefillALighter,482,pump up the fuel
124,RefillALighter,483,lighten the lighter to check
125,RefillAStapler,648,pull open the stapler
125,RefillAStapler,649,insert the stapler pins
125,RefillAStapler,650,close up the stapler
126,RefillCartridge,86,take out the label
126,RefillCartridge,87,inject the ink to the cartridge
126,RefillCartridge,88,stick on the label
127,RemoveScratchesFromWindshield,491,spray the cleaning agent on the car window
127,RemoveScratchesFromWindshield,492,apply the cleaning agent with towel evenly
127,RemoveScratchesFromWindshield,493,wipe off the cleaning agent
128,ReplaceABulb,75,remove the light shell/housing/support
128,ReplaceABulb,76,take out the old bulb
128,ReplaceABulb,77,install the new bulb
128,ReplaceABulb,78,install the light shell/housing/support
129,ReplaceAWiperHead,573,take out the wiper
129,ReplaceAWiperHead,574,take out the old rubber sleeve from the wiper head
129,ReplaceAWiperHead,575,take out the blade from the old rubber sleeve
129,ReplaceAWiperHead,576,put the balde into the new rubber sleeve
129,ReplaceAWiperHead,577,put the new rubber sleeve into the wiper head
129,ReplaceAWiperHead,578,install the wiper back
130,ReplaceBladeOfASaw,720,turn off the balde screw
130,ReplaceBladeOfASaw,721,take out the blade
130,ReplaceBladeOfASaw,722,install the new blade
130,ReplaceBladeOfASaw,723,tighten the blade screw
131,ReplaceCDDriveWithSSD,212,take out the laptop CD drive
131,ReplaceCDDriveWithSSD,213,screw off the screws and sheetmetals and baffles on the both sides of the CD drive
131,ReplaceCDDriveWithSSD,214,install the SSD onto the hard disk tray
131,ReplaceCDDriveWithSSD,215,install the screws and sheetmetals and baffles onto the hard disk tray
131,ReplaceCDDriveWithSSD,216,insert the hard disk tray into the position of the CD drive
132,ReplaceCarFuse,465,open up the cover
132,ReplaceCarFuse,466,take out the fuse
132,ReplaceCarFuse,467,fit on the fuse
132,ReplaceCarFuse,468,close up the cover
133,ReplaceDoorKnob,416,remove the door knob
133,ReplaceDoorKnob,417,remove the bolt and pin board
133,ReplaceDoorKnob,418,install the new pin board
133,ReplaceDoorKnob,419,install the new bolt
133,ReplaceDoorKnob,420,install the new door knob
134,ReplaceDrumhead,620,screw off the screws
134,ReplaceDrumhead,621,remove the drumhead
134,ReplaceDrumhead,622,replace with the new drumhead
134,ReplaceDrumhead,623,screw on the screws
135,ReplaceElectricalOutlet,770,switch off the power
135,ReplaceElectricalOutlet,771,screw off the screws used to fix the switch
135,ReplaceElectricalOutlet,772,use electricity meter to check the power supply
135,ReplaceElectricalOutlet,773,use screwdriver or electirc screwdriver to release the wire in the wall from the switch
135,ReplaceElectricalOutlet,774,use screwdriver or electirc screwdriver to screw the wire in the wall into the screw of the new switch
135,ReplaceElectricalOutlet,775,reset the switch and screw on the screws used to fix the switch
136,ReplaceFaucet,632,close the sluice and empty and disconnect the water pipe
136,ReplaceFaucet,633,remove the old faucet
136,ReplaceFaucet,634,install the new faucet
136,ReplaceFaucet,635,connect the water pipe
136,ReplaceFaucet,636,open the sluice and test the new faucet
137,ReplaceFilterForAirPurifier,392,take out the shell
137,ReplaceFilterForAirPurifier,393,take out the filter
137,ReplaceFilterForAirPurifier,394,clean up the filter
